"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"2576","GO:0005622",1.24035856029325e-11,1,2001,13539,"intracellular anatomical structure","CC",2.68922139457181e-07
"12827","GO:0051128",1.9283593459301e-10,1,423,2379,"regulation of cellular component organization","BP",2.09043794895553e-06
"2518","GO:0005515",1.31467267057547e-09,1,1954,13251,"protein binding","MF",9.50113939024891e-06
"12417","GO:0048856",3.26980177867031e-09,1,861,5416,"anatomical structure development","BP",1.48522205603592e-05
"14093","GO:0061061",3.42516963247988e-09,1,142,658,"muscle structure development","BP",1.48522205603592e-05
"11362","GO:0045892",6.03254413752211e-09,1,238,1234,"negative regulation of DNA-templated transcription","BP",1.67986894374576e-05
"19197","GO:1902679",7.16840424383282e-09,1,239,1242,"negative regulation of RNA biosynthetic process","BP",1.67986894374576e-05
"3572","GO:0007399",7.35994153955359e-09,1,418,2436,"nervous system development","BP",1.67986894374576e-05
"10494","GO:0043232",7.44930087817698e-09,1,844,5274,"intracellular membraneless organelle","CC",1.67986894374576e-05
"10490","GO:0043228",7.74811560235121e-09,1,844,5275,"membraneless organelle","CC",1.67986894374576e-05
"4358","GO:0009653",8.6229781360411e-09,1,428,2505,"anatomical structure morphogenesis","BP",1.6995889906137e-05
"54","GO:0000122",2.45928290033721e-08,1,183,915,"negative regulation of transcription by RNA polymerase II","BP",4.44330938018426e-05
"12365","GO:0048731",3.06132193958993e-08,1,608,3747,"system development","BP",5.10557853632687e-05
"8007","GO:0032502",3.43174988744349e-08,1,922,5902,"developmental process","BP",5.31455495069017e-05
"6803","GO:0030054",7.2610536571949e-08,1,385,2262,"cell junction","CC",0.000104951269561095
"12896","GO:0051253",8.3948299953497e-08,1,250,1348,"negative regulation of RNA metabolic process","BP",0.000113755193205735
"2976","GO:0006366",1.11947996205837e-07,1,426,2508,"transcription by RNA polymerase II","BP",0.000142773206219927
"373","GO:0001217",1.21046095387085e-07,1,69,272,"DNA-binding transcription repressor activity","MF",0.000145800021893744
"3533","GO:0007275",1.33277877821105e-07,1,691,4354,"multicellular organism development","BP",0.000149104849001117
"377","GO:0001227",1.3754425441734e-07,1,67,262,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",0.000149104849001117
"255","GO:0000785",1.64243524162633e-07,1,230,1232,"chromatin","CC",0.000169569707017622
"17754","GO:0140110",2.15598900806154e-07,1,306,1730,"transcription regulator activity","MF",0.000212472716744465
"11392","GO:0045934",3.22527080775952e-07,1,266,1471,"negative regulation of nucleobase-containing compound metabolic process","BP",0.000304030853839279
"3390","GO:0007010",6.69467716469716e-07,0.999999725207642,253,1416,"cytoskeleton organization","BP",0.000602852275682193
"12626","GO:0050793",6.95138918502597e-07,0.999999703535059,383,2266,"regulation of developmental process","BP",0.000602852275682193
"11095","GO:0045202",1.05358371298386e-06,0.999999423840093,273,1555,"synapse","CC",0.000878567249277045
"10799","GO:0044087",1.15107961247666e-06,0.999999541089179,188,1008,"regulation of cellular component biogenesis","BP",0.000924316928818756
