"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","padj"
"3362","GO:0006955",6.20869992300626e-76,1,454,1863,"immune response","BP",5.12972764159648e-25
"876","GO:0002250",3.20553195486854e-74,1,234,637,"adaptive immune response","BP",1.16775191710868e-18
"6326","GO:0019814",1.57229648287346e-71,1,98,130,"immunoglobulin complex","CC",1.72510323856798e-18
"964","GO:0002376",3.23631174934667e-67,1,555,2615,"immune system process","BP",1.97107629880214e-18
"1587","GO:0003823",2.57331967838974e-49,1,87,148,"antigen binding","MF",1.03199165938571e-15
"1011","GO:0002449",2.43451107971711e-32,1,115,347,"lymphocyte mediated immunity","BP",2.59911352759021e-11
"1017","GO:0002460",4.94324599267984e-31,1,118,362,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",1.50497749994029e-10
"878","GO:0002252",1.0103458064447e-30,1,173,663,"immune effector process","BP",2.21094108879041e-10
"1005","GO:0002443",8.62672153478878e-30,1,128,433,"leukocyte mediated immunity","BP",3.47564084447268e-10
"5443","GO:0016064",1.1844174882008e-28,1,74,175,"immunoglobulin mediated immune response","BP",7.48194981164604e-10
"6281","GO:0019724",2.38399100181797e-28,1,74,177,"B cell mediated immunity","BP",1.0598155340167e-09
"1139","GO:0002684",1.18379842203543e-27,1,238,1093,"positive regulation of immune system process","BP",1.32238264889419e-09
"12614","GO:0050776",4.18749579120971e-27,1,214,957,"regulation of immune response","BP",1.51452859005699e-09
"1137","GO:0002682",1.85204436305619e-26,1,301,1542,"regulation of immune system process","BP",1.87510759591543e-09
"1205","GO:0002768",3.04518029608487e-26,1,109,349,"immune response-regulating cell surface receptor signaling pathway","BP",2.2586984908026e-09
"11126","GO:0045321",8.79419427883621e-26,1,209,930,"leukocyte activation","BP",4.45876355799515e-09
"12616","GO:0050778",9.90210291047082e-26,1,182,771,"positive regulation of immune response","BP",4.49894616734865e-09
"1202","GO:0002764",1.22844067379019e-24,1,149,577,"immune response-regulating signaling pathway","BP",7.54793493119301e-09
"879","GO:0002253",4.98982188236235e-24,1,151,595,"activation of immune response","BP",1.12629344346094e-08
"553","GO:0001775",5.50969188614957e-24,1,228,1070,"cell activation","BP",1.12629344346094e-08
"13118","GO:0051707",9.36913234489252e-24,1,275,1443,"response to other organism","BP",1.25674648635675e-08
"1195","GO:0002757",1.09679956680957e-23,1,141,538,"immune response-activating signaling pathway","BP",1.30473900612095e-08
"10477","GO:0043207",1.10041665351856e-23,1,275,1445,"response to external biotic stimulus","BP",1.33548177003064e-08
"991","GO:0002429",1.60336468769818e-23,1,100,325,"immune response-activating cell surface receptor signaling pathway","BP",3.35572095815682e-08
"4335","GO:0009607",2.2829154971254e-23,1,280,1484,"response to biotic stimulus","BP",3.35891450338072e-08
"11723","GO:0046649",2.96820274318939e-23,1,179,776,"lymphocyte activation","BP",3.48277605387786e-08
"10885","GO:0044419",4.08756327430185e-21,1,291,1600,"biological process involved in interspecies interaction between organisms","BP",3.5063126449088e-08
"12661","GO:0050851",4.32451894682008e-21,1,72,205,"antigen receptor-mediated signaling pathway","BP",7.29178583716522e-08
"3359","GO:0006952",9.41151191859044e-20,1,296,1691,"defense response","BP",8.8944857752376e-08
"16798","GO:0098542",1.16281560784775e-19,1,200,1027,"defense response to other organism","BP",9.14426468204662e-08
"17917","GO:0140546",2.17459638578291e-19,1,197,1011,"defense response to symbiont","BP",1.29951080779037e-07
"4334","GO:0009605",7.25912346849214e-18,1,367,2211,"response to external stimulus","BP",1.67035352111765e-07
"9967","GO:0042110",3.40361449972189e-17,1,129,558,"T cell activation","BP",1.86125603635757e-07
"1149","GO:0002694",2.54340679287125e-16,1,126,560,"regulation of leukocyte activation","BP",2.58702153633992e-07
"6815","GO:0030098",4.35564963768141e-16,1,105,412,"lymphocyte differentiation","BP",5.26321192300836e-07
"12663","GO:0050853",5.68756128554317e-16,1,35,71,"B cell receptor signaling pathway","BP",5.34951946243937e-07
"12675","GO:0050865",7.83092261484409e-16,1,134,616,"regulation of cell activation","BP",7.31649994789867e-07
"4341","GO:0009617",1.12264369532309e-15,1,129,608,"response to bacterium","BP",9.51518562476602e-07
"1055","GO:0002521",1.27097270031838e-15,1,135,599,"leukocyte differentiation","BP",9.89432659367082e-07
"19382","GO:1903131",1.32311244772126e-15,1,119,504,"mononuclear cell differentiation","BP",1.71414797650222e-06
"9962","GO:0042101",1.72580772912371e-15,1,36,84,"T cell receptor complex","CC",3.47401377439552e-06
"11030","GO:0045087",3.12531802630145e-15,1,176,928,"innate immune response","BP",3.47401377439552e-06
"6814","GO:0030097",6.33795675813898e-15,1,183,929,"hemopoiesis","BP",3.73205144158924e-06
"12698","GO:0050896",1.42999199701738e-14,1,1038,7930,"response to stimulus","BP",5.27828201737837e-06
"3361","GO:0006954",3.34052794338023e-14,1,158,824,"inflammatory response","BP",5.37975161389568e-06
"12892","GO:0051249",3.3763087803337e-14,1,110,495,"regulation of lymphocyte activation","BP",5.37975161389568e-06
"9968","GO:0042113",5.26267096936617e-14,1,73,260,"B cell activation","BP",5.68423197582424e-06
"7390","GO:0031347",2.44749000488495e-13,1,156,806,"regulation of defense response","BP",6.30315444017161e-06
"649","GO:0001906",2.56628908354352e-13,1,58,230,"cell killing","BP",6.74446093714949e-06
"1151","GO:0002696",7.52569794121494e-13,1,86,359,"positive regulation of leukocyte activation","BP",7.81472007291152e-06
"12677","GO:0050867",8.25581197414483e-13,1,89,377,"positive regulation of cell activation","BP",8.21664924939718e-06
"3366","GO:0006959",9.7510524002066e-13,1,54,223,"humoral immune response","BP",1.17190160608849e-05
"4412","GO:0009897",9.85589963118141e-13,1,85,359,"external side of plasma membrane","CC",1.24213738236434e-05
"8686","GO:0034097",1.628274844288e-12,1,165,885,"response to cytokine","BP",1.24213738236434e-05
"3459","GO:0007159",1.84883034710273e-12,1,92,401,"leukocyte cell-cell adhesion","BP",1.31261151641428e-05
"7756","GO:0032101",3.45434174271995e-12,1,188,1048,"regulation of response to external stimulus","BP",1.38144162451106e-05
"591","GO:0001819",4.40956746225253e-12,1,101,473,"positive regulation of cytokine production","BP",1.38144162451106e-05
"7392","GO:0031349",5.01614142657737e-12,1,109,521,"positive regulation of defense response","BP",1.47849209209143e-05
"7079","GO:0030595",5.07339018791979e-12,1,56,214,"leukocyte chemotaxis","BP",1.97325927878797e-05
"18826","GO:1901652",5.15795388137561e-12,1,165,897,"response to peptide","BP",1.97325927878797e-05
"11724","GO:0046651",6.81227810469111e-12,1,70,286,"lymphocyte proliferation","BP",1.97325927878797e-05
"15471","GO:0071735",7.72835660616448e-12,1,11,11,"IgG immunoglobulin complex","CC",1.97325927878797e-05
"12280","GO:0048584",1.09223733422124e-11,1,349,2245,"positive regulation of response to stimulus","BP",2.02005502997551e-05
"12673","GO:0050863",1.25636011653535e-11,1,85,376,"regulation of T cell activation","BP",2.06128682080994e-05
"1236","GO:0002831",1.31800991596004e-11,1,116,566,"regulation of response to biotic stimulus","BP",2.12801377999115e-05
"15227","GO:0071345",1.46434810046518e-11,1,150,801,"cellular response to cytokine stimulus","BP",2.18517399010415e-05
"6901","GO:0030217",1.51462281050784e-11,1,77,309,"T cell differentiation","BP",2.2206209310122e-05
"19341","GO:1903037",1.79885727632449e-11,1,84,366,"regulation of leukocyte cell-cell adhesion","BP",2.44319840384566e-05
"8289","GO:0032943",1.97174562811683e-11,1,70,293,"mononuclear cell proliferation","BP",2.49546619544355e-05
"7758","GO:0032103",3.75566716474151e-11,1,124,641,"positive regulation of response to external stimulus","BP",2.49546619544355e-05
"11709","GO:0046631",4.19494173209721e-11,1,54,195,"alpha-beta T cell activation","BP",2.57114674288453e-05
"16930","GO:0098802",5.89160399715502e-11,1,63,239,"plasma membrane signaling receptor complex","CC",2.69037032426363e-05
"14908","GO:0070661",6.4478958365818e-11,1,74,326,"leukocyte proliferation","BP",2.93474701420524e-05
"12894","GO:0051251",7.75065122460812e-11,1,76,327,"positive regulation of lymphocyte activation","BP",3.45152824348684e-05
"6149","GO:0019221",1.12927933433768e-10,1,100,493,"cytokine-mediated signaling pathway","BP",3.52732710542153e-05
"11031","GO:0045088",1.2286512445739e-10,1,100,478,"regulation of innate immune response","BP",3.68297965265061e-05
"7077","GO:0030593",1.34083600083313e-10,0.999999999980084,28,77,"neutrophil chemotaxis","BP",3.80972254643777e-05
"19343","GO:1903039",1.83117341904381e-10,1,67,274,"positive regulation of leukocyte cell-cell adhesion","BP",5.05856693343459e-05
"9961","GO:0042100",2.99088506761907e-10,0.999999999950266,31,84,"B cell proliferation","BP",5.64188371745341e-05
